date,entry_time,side,setup,grade,daily_bias,ovn_pos,exit_reason,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr
2026-02-25,10:30,LONG,PM_LONG,A+,LONG,0.907,no_move,46.26,1,3.389,15.67,0,71.82,0.2732,1,542.5,1,1,1,40.5
2026-02-25,13:00,LONG,PM_LONG,A+,LONG,0.907,no_move,76.76,1,12.733,33.83,0,83.03,0.2363,1,592.0,1,1,1,14.7
2026-02-27,13:00,SHORT,VWAP_SHORT,A+,SHORT,0.068,stop,-0.74,0,2.886,32.44,0,39.15,-0.2277,1,1.8,0,0,1,39.3
2026-02-27,13:55,SHORT,MOM_SHORT,A,SHORT,0.068,stop,-81.24,0,3.253,5.69,0,36.88,-0.2521,0,-25.0,0,0,1,26.7
2026-03-05,10:30,SHORT,MOM_SHORT,A+,SHORT,0.091,stop,-201.24,0,0.191,69.05,0,44.52,0.1871,1,71.8,0,1,0,66.7
2026-03-05,10:50,SHORT,MOM_SHORT,A,SHORT,0.091,stop,218.76,1,1.355,16.42,0,50.41,0.1201,1,173.2,0,1,0,65.5
2026-03-09,10:30,LONG,VWAP_LONG,A,BOTH,0.635,stop,114.76,1,0.042,22.67,0,72.78,-0.2139,0,-235.2,1,0,0,83.5
2026-03-10,10:30,LONG,PM_LONG,A+,BOTH,0.506,stop,84.76,1,1.033,40.08,0,60.3,-0.0063,1,581.0,1,1,1,60.5
2026-03-10,10:50,LONG,PM_LONG,A+,BOTH,0.506,stop,-0.74,0,2.495,113.58,0,64.77,0.0899,1,654.5,1,1,1,54.5
2026-03-11,10:55,LONG,PM_LONG,A+,BOTH,0.612,stop,-187.24,0,0.484,12.67,0,50.3,-0.0459,1,29.0,1,1,1,62.0
2026-03-16,10:55,LONG,PM_LONG,A+,LONG,0.919,stop,-0.74,0,0.849,2.0,0,66.68,-0.0437,1,41.5,1,1,1,45.7
2026-03-16,13:05,LONG,PM_LONG,A+,LONG,0.919,stop,-0.74,0,1.171,2.5,0,65.76,-0.0608,1,41.0,1,1,1,32.7
