date,entry_time,side,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr
2025-02-20,11:55,SHORT,-100.24,0,5.424,14.83,0,30.35,0.2105,0,-160.2,0,0,1,33.0
2025-02-21,11:50,SHORT,121.76,1,6.113,11.5,0,28.46,-0.2014,0,-24.5,0,0,1,35.5
2025-02-24,10:40,SHORT,-0.74,0,4.596,31.75,0,25.38,0.0306,0,-682.2,0,0,1,59.7
2025-02-24,11:25,LONG,-0.74,0,3.881,4.62,1,34.63,0.0743,0,-567.8,0,0,0,41.2
2025-02-25,11:05,SHORT,121.76,1,5.054,43.25,0,22.44,-0.0409,0,-458.0,0,0,1,63.2
2025-02-25,11:55,LONG,201.26,1,4.314,62.25,0,30.8,0.0101,0,-359.5,0,0,0,51.2
2025-02-26,10:30,LONG,-0.74,0,1.327,41.31,0,72.01,-0.2273,1,255.5,1,1,1,55.0
2025-02-27,11:00,SHORT,-223.74,0,4.17,7.0,0,36.91,0.2426,0,-185.8,0,0,1,74.2
2025-02-27,11:20,LONG,-129.24,0,3.42,64.04,0,45.94,0.2749,0,-88.0,0,0,0,61.8
2025-02-28,10:30,LONG,-245.24,0,1.94,55.16,0,63.72,-0.229,0,-204.0,1,0,0,81.3
2025-02-28,11:35,LONG,-0.74,0,2.241,15.41,0,62.88,-0.1626,0,-243.8,1,0,0,52.7
2025-03-03,10:30,LONG,-0.74,0,1.33,28.08,0,50.39,0.0553,1,345.5,0,1,0,80.8
2025-03-03,10:50,LONG,-0.74,0,1.585,47.08,0,48.79,-0.0889,1,326.5,0,1,0,79.8
2025-03-05,10:30,SHORT,-0.74,0,0.65,97.25,0,37.3,-0.1379,1,33.2,0,0,1,86.2
2025-03-05,11:00,SHORT,179.76,1,0.845,84.5,0,39.1,-0.1134,1,20.5,0,0,1,81.3
2025-03-06,11:35,SHORT,-0.74,0,0.682,1.07,0,33.14,-0.0693,0,-19.0,0,0,1,64.2
2025-03-06,11:50,SHORT,187.26,1,0.396,8.58,0,30.38,-0.028,0,-86.8,0,0,1,60.7
2025-03-07,10:30,SHORT,-0.74,0,1.04,7.08,0,28.42,-0.0564,0,-325.0,0,0,1,81.5
2025-03-07,10:45,SHORT,84.76,1,0.062,22.68,0,33.81,0.0294,0,-235.0,0,0,1,85.3
2025-03-10,10:30,SHORT,148.76,1,3.331,58.17,0,19.26,-0.1666,0,-365.0,0,0,1,73.3
2025-03-10,11:00,SHORT,-188.74,0,5.028,11.83,0,11.07,-0.1793,0,-435.0,0,0,1,62.5
2025-03-11,11:15,LONG,106.26,1,0.534,35.5,0,61.31,-0.3636,0,-372.0,1,0,0,95.5
2025-03-11,11:50,LONG,-247.24,0,0.976,6.5,0,62.46,-0.3483,0,-343.0,1,0,0,82.0
2025-03-12,11:05,SHORT,-203.74,0,3.967,60.0,0,47.06,-0.0638,0,-54.8,0,0,1,67.5
2025-03-12,11:45,LONG,-0.74,0,1.548,66.84,0,58.24,-0.0075,1,124.2,1,1,1,57.3
2025-03-13,10:45,SHORT,80.26,1,2.11,4.79,0,35.36,0.118,0,-205.0,0,0,1,73.0
2025-03-13,11:25,SHORT,101.76,1,3.676,14.91,0,32.97,-0.0153,0,-269.8,0,0,1,59.5
2025-03-14,10:35,LONG,-0.74,0,1.235,6.92,0,77.35,0.1193,1,174.5,1,1,1,67.0
2025-03-14,11:00,LONG,-0.74,0,2.81,27.53,0,82.83,0.1353,1,261.8,1,1,1,60.5
2025-03-17,13:20,LONG,125.76,1,1.153,15.9,0,69.05,0.0886,1,255.8,1,1,1,33.8
2025-03-17,13:55,LONG,126.26,1,3.914,9.5,0,73.82,0.1251,1,330.2,1,1,1,29.0
2025-03-18,10:30,SHORT,-0.74,0,3.46,3.0,0,24.83,0.0955,0,-254.5,0,0,1,54.8
2025-03-18,11:00,SHORT,-146.74,0,5.531,41.75,0,21.09,0.0751,0,-333.0,0,0,1,48.5
2025-03-19,10:30,LONG,126.26,1,1.465,2.24,0,61.66,-0.0207,1,45.5,1,1,1,43.0
2025-03-19,13:00,LONG,-75.24,0,3.304,9.5,0,61.67,-0.0151,1,64.0,1,1,1,24.7
2025-03-20,11:55,SHORT,225.76,1,5.293,6.83,0,47.4,0.1129,1,196.8,0,1,0,37.8
2025-03-20,13:20,SHORT,-0.74,0,2.25,56.92,0,36.42,0.0788,1,88.0,0,0,1,40.7
2025-03-24,10:30,LONG,-0.74,0,1.959,134.42,0,85.18,-0.4475,1,717.2,1,1,1,37.0
2025-03-24,11:05,LONG,-79.24,0,4.067,167.67,0,90.21,-0.4233,1,750.5,1,1,1,26.0
2025-03-25,10:30,LONG,84.76,1,0.846,0.58,0,63.99,-0.1666,1,182.0,1,1,1,37.8
2025-03-25,11:50,LONG,-0.74,0,2.17,7.92,0,63.4,-0.1723,1,190.5,1,1,1,18.7
2025-03-26,10:30,SHORT,-0.74,0,3.386,11.25,0,18.65,0.1203,0,-113.0,0,0,1,45.3
2025-03-26,11:35,SHORT,151.26,1,6.363,20.0,0,19.06,0.019,0,-121.8,0,0,1,25.5
2025-03-27,11:40,SHORT,-0.74,0,1.321,48.03,0,48.58,0.1624,0,-179.5,0,0,1,34.8
2025-03-27,13:25,SHORT,-106.24,0,0.543,16.97,0,37.2,0.0742,0,-244.5,0,0,1,35.0
2025-03-31,10:30,SHORT,55.26,1,0.143,38.75,0,44.96,-0.078,0,-637.5,0,0,1,68.3
2025-03-31,10:40,SHORT,-185.24,0,1.015,13.75,0,39.11,-0.1074,0,-690.0,0,0,1,61.3
2025-04-01,10:35,LONG,148.76,1,0.457,42.73,0,58.99,0.1802,1,307.2,1,1,1,65.2
2025-04-01,11:00,LONG,123.26,1,2.324,10.71,0,64.89,0.2339,1,415.0,1,1,1,59.2
2025-04-03,10:30,SHORT,79.76,1,0.387,123.67,0,44.36,0.0652,0,-687.0,0,0,1,79.5
2025-04-03,10:50,SHORT,86.76,1,2.135,14.92,0,39.61,0.0793,0,-795.8,0,0,1,65.3
2025-04-08,10:30,LONG,-267.24,0,1.827,15.83,0,74.49,-0.0251,1,623.2,1,1,1,88.7
2025-04-09,11:30,LONG,-0.74,0,1.49,186.73,0,55.76,0.0248,0,-775.0,1,0,0,98.0
2025-04-09,11:45,LONG,197.76,1,1.861,215.98,0,56.39,0.0022,0,-745.8,1,0,0,94.2
2025-04-10,11:00,SHORT,200.26,1,2.037,149.33,0,25.63,-0.2295,1,24.8,0,1,0,95.8
2025-04-10,11:30,SHORT,-0.74,0,3.893,20.83,0,22.53,-0.2385,0,-103.8,0,1,0,83.2
2025-04-11,11:35,LONG,-0.74,0,1.252,113.75,0,56.39,0.1262,1,276.2,1,0,0,99.7
2025-04-11,13:00,LONG,-0.74,0,5.03,49.99,0,59.1,0.1541,1,476.8,1,1,1,64.7
2025-04-14,10:30,LONG,-0.74,0,1.285,78.25,0,58.88,0.0069,1,679.0,1,1,1,76.7
2025-04-14,10:50,LONG,-200.24,0,0.69,79.25,0,61.72,0.0157,1,731.8,1,1,1,66.3
2025-04-15,10:30,LONG,-0.74,0,0.678,6.75,0,60.54,0.1874,0,-17.5,1,1,1,69.3
2025-04-15,10:50,LONG,-0.74,0,0.651,7.5,0,60.62,-0.0808,0,-16.8,1,1,1,73.3
2025-04-16,11:50,SHORT,-0.74,0,0.448,3.5,0,43.76,0.0223,0,-433.5,0,0,1,41.8
2025-04-16,13:00,SHORT,166.76,1,0.877,52.5,0,42.95,-0.0477,0,-482.5,0,0,1,34.5
2025-04-17,11:10,LONG,-172.24,0,1.417,66.33,0,45.84,0.2222,0,-198.5,0,0,0,57.0
2025-04-17,11:35,LONG,-99.24,0,1.706,47.83,0,44.35,0.197,0,-217.0,0,0,0,58.2
2025-04-21,10:30,SHORT,99.26,1,3.99,61.17,0,14.84,0.1425,0,-532.8,0,0,1,50.5
2025-04-21,11:35,SHORT,-0.74,0,6.984,147.17,0,13.11,0.0068,0,-618.8,0,0,1,41.2
2025-04-22,10:30,LONG,157.76,1,3.123,55.83,0,73.14,0.0166,1,176.0,1,1,1,42.7
2025-04-22,11:15,LONG,-98.24,0,7.036,38.42,0,75.49,0.0169,1,270.2,1,1,1,32.3
2025-04-23,10:30,LONG,-0.74,0,2.138,188.5,0,81.6,-0.0864,1,1002.0,1,1,1,87.0
2025-04-23,10:45,LONG,-231.74,0,2.011,157.0,0,80.72,-0.0662,1,970.5,1,1,1,76.8
2025-04-24,11:05,LONG,-0.74,0,7.787,5.12,0,72.81,0.275,1,152.5,1,1,1,37.5
2025-04-24,11:25,LONG,-0.74,0,7.392,23.62,0,72.22,0.268,1,134.0,1,1,1,37.0
2025-04-28,10:35,LONG,-179.24,0,0.48,31.74,0,61.85,-0.0257,1,179.8,1,1,1,59.3
2025-04-29,11:20,SHORT,-126.74,0,2.355,64.68,0,43.7,0.2092,0,-6.0,0,1,0,41.8
2025-05-01,10:30,LONG,103.26,1,0.54,119.58,0,55.81,0.1524,1,732.8,1,1,1,54.2
2025-05-01,11:25,LONG,-93.74,0,3.438,102.58,0,64.08,0.0833,1,809.5,1,1,1,30.8
2025-05-02,10:30,LONG,-0.74,0,1.464,0.34,0,69.97,-0.0225,1,149.8,1,1,1,48.2
2025-05-02,11:25,LONG,193.26,1,1.546,7.0,0,68.84,0.0037,1,129.5,1,1,1,32.5
2025-05-05,10:30,SHORT,-133.24,0,0.188,13.88,0,39.95,-0.3867,0,-48.0,0,0,1,44.0
2025-05-06,13:20,SHORT,-0.74,0,1.926,24.83,0,39.59,0.0031,0,-211.5,0,0,1,39.3
2025-05-08,10:30,LONG,-132.24,0,1.466,39.25,0,57.51,-0.117,1,253.8,0,1,0,43.7
2025-05-08,11:10,LONG,218.26,1,1.505,51.75,0,51.71,-0.0681,1,241.2,0,1,0,50.8
2025-05-09,10:40,SHORT,-126.24,0,2.808,49.91,0,48.49,0.0965,1,29.5,0,0,1,41.7
2025-05-09,11:10,SHORT,-0.74,0,1.673,42.92,0,49.19,0.1227,1,74.0,0,0,1,43.3
2025-05-12,10:40,LONG,28.26,1,2.439,293.0,0,72.2,0.0993,1,700.8,1,1,1,50.8
2025-05-12,13:30,LONG,-0.74,0,0.673,401.75,0,73.76,0.0829,1,809.5,1,1,1,22.7
2025-05-13,10:45,LONG,94.26,1,5.587,51.67,0,86.28,0.0123,1,345.2,1,1,1,36.3
2025-05-13,11:25,LONG,79.26,1,10.095,19.58,0,88.25,-0.0008,1,416.5,1,1,1,27.2
2025-05-14,10:45,LONG,109.76,1,0.708,15.94,0,62.33,-0.1049,1,337.8,1,1,1,41.7
2025-05-14,13:45,LONG,-0.74,0,1.22,14.94,0,58.53,-0.1338,1,338.8,1,1,1,25.0
2025-05-15,10:50,LONG,186.76,1,0.418,21.32,0,42.15,-0.3677,1,7.8,0,0,0,38.8
2025-05-15,11:30,LONG,85.76,1,3.235,10.74,0,52.86,-0.307,1,88.0,1,1,1,29.8
2025-05-16,11:30,LONG,-0.74,0,1.415,33.42,0,57.19,-0.0822,1,121.5,1,1,1,32.5
2025-05-16,13:10,LONG,-0.74,0,1.058,47.87,0,56.16,-0.1456,1,147.8,1,1,1,18.7
2025-05-20,10:30,SHORT,-125.24,0,0.218,3.67,0,30.34,-0.3615,0,-11.8,0,1,0,41.3
2025-05-28,13:00,LONG,22.76,1,1.695,8.27,0,55.63,-0.1523,1,222.8,1,1,1,16.7
2025-05-29,10:50,LONG,-151.24,0,3.545,13.25,0,19.32,-0.0162,1,24.5,0,0,0,50.0
2025-05-29,13:35,SHORT,157.76,1,9.858,8.39,0,26.5,0.0006,0,-59.5,0,0,1,26.5
2025-05-30,10:30,LONG,-123.74,0,0.245,69.58,0,53.75,-0.0554,0,-44.8,1,0,0,40.8
2025-06-02,10:30,LONG,31.26,1,1.965,9.29,0,68.16,0.37,1,276.2,1,1,1,59.7
2025-06-02,13:00,LONG,140.76,1,7.204,11.33,0,88.29,0.2323,1,329.5,1,1,1,23.7
2025-06-03,10:30,LONG,115.26,1,1.228,12.7,0,73.47,-0.1709,1,323.5,1,1,1,41.3
2025-06-03,11:10,LONG,169.26,1,4.096,43.33,0,78.96,-0.1952,1,389.5,1,1,1,28.5
2025-06-04,10:30,LONG,-0.74,0,0.485,6.82,0,61.02,0.0687,1,187.8,1,1,1,39.2
2025-06-04,11:35,LONG,-72.74,0,1.626,12.93,0,71.14,0.076,1,207.5,1,1,1,23.8
2025-06-05,10:35,LONG,108.26,1,0.344,14.71,0,56.71,-0.4298,1,82.5,1,1,1,57.3
2025-06-05,10:50,LONG,158.26,1,0.395,8.96,0,61.45,-0.3629,1,125.2,1,1,1,58.2
2025-06-06,10:35,LONG,-0.74,0,0.532,15.17,0,84.07,-0.0717,1,81.5,1,1,1,38.5
2025-06-06,11:45,LONG,-95.74,0,0.54,18.67,0,82.62,-0.0542,1,78.0,1,1,1,31.5
2025-06-10,10:30,LONG,-93.74,0,1.289,12.26,0,51.75,-0.3691,1,11.2,1,1,1,30.8
2025-06-10,11:45,LONG,84.76,1,0.593,19.83,0,27.23,-0.2682,0,-11.0,0,1,0,29.5
2025-06-11,10:30,LONG,-99.24,0,0.857,13.87,0,67.31,0.1003,1,186.5,1,1,1,32.7
2025-06-11,11:15,LONG,-77.74,0,0.853,9.29,0,66.29,0.0025,1,180.2,1,1,1,25.5
2025-06-12,10:30,LONG,-0.74,0,2.968,14.33,0,64.12,0.2717,0,-24.2,1,1,1,31.0
2025-06-12,11:20,LONG,82.76,1,2.949,4.92,0,62.69,0.2743,0,-43.5,1,1,1,24.7
2025-06-13,10:35,LONG,-0.74,0,0.679,33.75,0,63.81,0.3156,0,-130.0,1,0,0,51.2
2025-06-13,10:50,LONG,82.76,1,1.394,3.0,0,66.76,0.2454,0,-99.2,1,0,0,47.0
2025-06-16,10:40,LONG,-95.74,0,5.722,7.08,0,83.98,-0.0906,1,253.0,1,1,1,31.5
2025-06-16,13:00,LONG,-0.74,0,7.338,26.42,0,82.63,-0.0608,1,219.5,1,1,1,20.0
2025-06-23,10:30,LONG,-138.24,0,2.655,12.25,0,80.28,-0.2273,1,280.0,1,1,1,45.7
2025-06-23,13:00,LONG,155.76,1,0.513,1.48,0,62.19,-0.1129,1,185.0,1,1,1,51.2
2025-06-24,10:30,LONG,91.26,1,1.266,15.58,0,63.11,-0.0543,1,547.5,1,1,1,31.0
2025-06-24,11:55,LONG,124.26,1,3.66,52.58,0,63.01,-0.2741,1,584.5,1,1,1,20.8
2025-06-25,10:40,LONG,-86.74,0,0.509,12.75,0,73.6,-0.0416,1,226.2,1,1,1,28.5
2025-06-26,10:30,LONG,-0.74,0,0.849,18.62,0,74.76,-0.0556,1,70.2,1,1,1,32.7
2025-06-26,11:30,LONG,114.26,1,1.474,19.12,0,77.76,-0.1535,1,70.8,1,1,1,19.2
2025-06-27,10:30,LONG,-0.74,0,2.524,37.5,0,72.15,0.2002,1,219.2,1,1,1,27.3
2025-06-27,11:00,LONG,43.76,1,2.219,30.25,0,68.8,0.2014,1,212.0,1,1,1,27.8
2025-06-30,10:45,LONG,-0.74,0,1.528,4.03,0,49.44,0.0276,1,28.0,0,1,0,27.0
2025-06-30,13:10,LONG,-94.24,0,2.548,2.28,0,36.95,0.0145,1,29.8,0,1,0,15.5
