date,trade_idx,side,entry_time,pnl,win,ovn_pos,daily_bias,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2026-01-14,0,SHORT,10:30,205.26,1,0.173,SHORT,2.196,66.25,0,18.54,0.0658,0,-262.2,0,0,1,66.8,80.2,393.8,0,0,-303.2,0,0.2
2026-01-14,1,SHORT,10:55,-173.24,0,0.173,SHORT,4.33,21.25,0,14.21,0.0754,0,-363.8,0,0,1,57.3,999.0,495.2,1,0,-404.8,0,
2026-01-15,0,LONG,10:30,-156.24,0,0.93,LONG,0.368,52.67,0,79.98,-0.2967,1,177.8,1,1,1,51.7,52.7,458.7,0,1,317.3,0,0.11
2026-01-15,1,LONG,10:55,-0.74,0,0.93,LONG,0.815,66.67,0,78.97,-0.0885,1,155.8,1,1,1,50.3,74.7,436.7,0,1,295.3,0,0.17
2026-01-16,0,LONG,11:35,-94.24,0,0.947,LONG,4.565,0.03,0,40.23,-0.1127,0,-149.8,0,0,0,31.0,166.2,0.0,2,0,-85.2,0,
2026-01-16,1,LONG,13:20,-66.24,0,0.947,LONG,6.623,1.97,1,39.28,-0.0721,0,-151.8,0,0,0,21.7,168.2,24.4,2,0,-87.2,0,6.89
2026-01-21,0,LONG,10:30,112.26,1,0.738,BOTH,4.014,5.09,0,65.34,0.2732,1,108.8,1,1,1,53.5,5.1,308.2,2,1,188.5,1,0.02
2026-01-21,1,LONG,11:30,-102.24,0,0.738,BOTH,6.609,2.66,0,65.51,0.2861,1,116.5,1,1,1,33.7,117.0,315.9,2,1,196.2,0,0.37
2026-01-22,0,LONG,10:30,-0.74,0,0.963,LONG,1.825,34.2,0,52.58,-0.2602,1,270.5,1,1,1,58.5,34.2,362.8,1,1,166.2,0,0.09
2026-01-22,1,LONG,11:00,104.76,1,0.963,LONG,2.522,30.45,0,55.52,-0.2264,1,274.2,1,1,1,40.8,30.5,366.5,1,1,170.0,0,0.08
