date,side,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2024-05-23,LONG,-0.74,0,2.611,17.0,0,48.51,0.2265,1,71.5,0,1,0,36.0,17.0,196.5,1,1,137.5,0,0.09
2024-05-24,LONG,121.26,1,2.565,41.0,0,77.39,-0.035,0,-73.8,1,1,1,29.3,41.0,225.4,0,1,87.5,0,0.18
2024-05-24,LONG,-58.74,0,7.917,16.5,0,82.85,-0.0058,1,2.8,1,1,1,19.2,16.5,301.9,3,1,164.0,0,0.05
2024-05-28,LONG,44.76,1,0.315,1.29,0,52.29,0.0878,1,137.8,0,1,0,27.0,1.3,147.1,3,1,72.9,0,0.01
2024-05-28,LONG,-96.24,0,0.395,9.46,0,49.87,0.0014,1,152.5,1,1,1,15.8,9.5,161.9,4,1,87.7,0,0.06
2024-05-29,SHORT,-60.24,0,3.381,1.06,0,37.51,0.0315,0,-88.0,0,0,1,19.7,1.1,95.4,4,0,-47.2,0,0.01
2024-05-29,SHORT,-54.24,0,4.047,6.06,0,42.33,-0.0629,0,-83.0,0,0,1,17.7,6.1,90.4,4,0,-42.2,0,0.07
2024-05-30,SHORT,-0.74,0,3.427,11.67,0,41.13,0.0075,0,-120.5,0,0,1,29.8,11.7,207.9,1,0,-162.4,0,0.06
2024-05-30,SHORT,-99.24,0,4.469,14.17,0,50.89,-0.1532,0,-91.2,0,0,1,16.3,40.9,178.6,1,0,-133.2,0,0.23
2024-06-04,LONG,-0.74,0,0.419,34.08,0,40.33,-0.4381,0,-81.8,1,0,0,39.3,88.0,156.1,1,1,34.1,0,0.56
2024-06-04,LONG,29.26,1,0.399,36.08,0,40.8,-0.4332,0,-79.8,1,0,0,36.3,86.0,158.1,1,1,36.1,0,0.54
2024-06-05,LONG,162.76,1,2.583,4.42,0,86.27,0.116,1,338.5,1,1,1,31.2,4.4,342.3,1,1,271.4,0,0.01
2024-06-05,LONG,162.76,1,10.207,54.58,0,84.25,0.037,1,397.5,1,1,1,13.7,999.0,401.3,0,1,330.4,0,
2024-06-06,LONG,-82.74,0,0.018,13.96,0,53.8,-0.2547,1,190.5,1,1,1,27.2,15.3,220.9,3,1,137.8,1,0.07
2024-06-06,LONG,-51.74,0,1.663,13.54,0,43.92,-0.2175,1,163.0,0,1,0,16.8,13.5,193.4,2,1,110.3,0,0.07
2024-06-07,LONG,99.76,1,0.23,14.33,0,43.29,-0.1455,0,-35.8,0,0,0,27.2,51.8,23.1,3,0,-14.3,0,2.24
2024-06-07,LONG,-76.24,0,1.42,14.92,0,49.53,-0.0676,0,-6.5,1,0,0,25.0,22.5,52.4,4,1,14.9,0,0.43
2024-06-12,LONG,12.26,1,4.095,12.75,0,92.74,0.0606,1,480.2,1,1,1,27.2,12.8,462.2,1,1,371.5,0,0.03
2024-06-12,LONG,-76.24,0,9.48,5.5,0,90.64,-0.0033,1,487.5,1,1,1,12.5,5.5,469.5,1,1,378.8,0,0.01
2024-06-13,LONG,-75.74,0,1.248,4.06,0,47.39,-0.2479,1,199.8,0,1,0,24.8,4.1,171.5,4,1,109.5,1,0.02
2024-06-14,LONG,-86.24,0,1.138,23.58,0,49.08,-0.0752,0,-34.5,1,0,0,28.3,39.0,86.1,2,1,23.6,0,0.45
2024-06-14,LONG,84.26,1,1.739,31.22,0,48.21,-0.0106,0,-26.8,1,1,1,23.0,31.2,93.9,2,1,31.3,0,0.33
2024-06-24,SHORT,158.26,1,0.143,10.11,0,33.45,-0.0573,1,144.0,0,1,0,43.8,215.3,10.1,2,1,102.6,0,21.32
2024-06-24,SHORT,-0.74,0,0.327,19.11,0,32.41,0.0286,1,135.0,0,1,0,46.7,206.3,19.1,2,1,93.6,0,10.8
2024-06-26,SHORT,79.76,1,1.312,4.86,1,46.81,-0.2585,1,119.5,0,1,0,33.2,139.1,15.9,4,1,72.0,0,8.75
2024-06-26,SHORT,-100.74,0,0.859,10.14,0,42.71,-0.1538,1,104.5,0,1,0,33.2,124.1,10.1,2,1,57.0,0,12.29
2024-06-27,LONG,-116.24,0,2.25,2.25,0,88.27,-0.0595,1,144.8,1,1,1,38.3,44.2,162.6,1,1,118.2,0,0.27
2024-06-27,LONG,-102.24,0,1.188,0.31,0,77.14,0.0016,1,98.5,1,1,1,33.7,44.0,116.3,4,1,72.0,0,0.38
2024-06-28,SHORT,98.26,1,2.215,6.23,0,64.73,-0.0212,1,113.8,1,1,0,35.3,168.5,55.8,3,1,106.5,0,3.02
2024-06-28,SHORT,-89.24,0,1.594,18.5,0,31.74,0.0434,0,-11.2,0,0,1,29.3,43.5,80.5,1,0,-18.5,0,0.54
2024-07-01,LONG,-0.74,0,1.202,6.73,1,38.98,-0.2619,0,-272.0,0,0,0,47.8,270.8,6.7,3,0,-171.2,0,40.42
2024-07-01,LONG,172.26,1,1.318,0.98,1,37.84,-0.2643,0,-277.8,0,0,0,48.0,276.5,1.0,3,0,-177.0,0,276.5
2024-07-02,LONG,85.26,1,2.486,4.46,0,66.55,0.0026,1,212.8,1,1,1,40.3,4.5,198.8,3,1,115.2,0,0.02
2024-07-02,LONG,-71.74,0,6.723,17.33,0,71.9,-0.0475,1,270.5,1,1,1,23.5,66.3,256.6,2,1,172.9,0,0.26
2024-07-05,LONG,119.26,1,2.429,28.83,0,83.36,-0.0512,1,284.8,1,1,1,35.0,49.8,248.3,2,1,169.7,0,0.2
2024-07-05,LONG,180.76,1,9.94,15.92,0,85.21,-0.0072,1,350.5,1,1,1,15.2,124.9,314.1,1,1,235.4,0,0.4
2024-07-08,LONG,-0.74,0,0.162,16.09,0,63.58,0.0431,1,102.0,1,1,1,21.7,16.1,139.1,1,1,64.4,0,0.12
2024-07-08,LONG,30.76,1,0.08,13.84,0,58.48,-0.0488,1,104.2,1,1,1,15.7,13.8,141.3,2,1,66.7,0,0.1
2024-07-10,LONG,117.76,1,0.252,5.34,0,65.37,0.1183,1,57.2,1,1,1,19.8,7.3,124.3,4,1,64.8,0,0.06
2024-07-10,LONG,36.26,1,4.933,0.42,0,76.18,0.1502,1,147.8,1,1,1,17.3,0.4,214.8,1,1,155.3,0,0.0
2024-07-12,LONG,-0.74,0,6.103,53.08,0,79.58,0.1601,0,-83.2,1,1,1,31.5,147.8,254.0,0,1,53.1,0,0.58
2024-07-12,LONG,-0.74,0,6.529,45.83,0,77.96,0.1572,0,-90.5,1,1,1,28.3,155.1,246.8,0,1,45.8,0,0.63
2024-07-15,SHORT,-0.74,0,0.853,35.08,0,50.83,-0.1209,1,131.5,0,1,0,34.0,85.5,155.7,1,0,-35.1,0,0.55
2024-07-16,LONG,-128.24,0,1.281,33.63,0,43.7,0.0779,0,-35.5,0,0,0,42.3,156.8,33.6,1,0,-61.6,0,4.67
2024-07-17,SHORT,78.76,1,2.5,93.75,0,0.48,0.182,0,-356.8,0,0,1,42.5,999.0,506.0,0,0,-422.0,0,
2024-07-17,SHORT,-0.74,0,3.691,119.75,0,1.49,-0.0186,0,-382.8,0,0,1,35.8,999.0,532.0,0,0,-448.0,0,
2024-07-22,LONG,-0.74,0,0.254,8.88,0,73.53,-0.0448,1,95.8,1,1,1,50.2,29.2,293.5,3,1,170.2,0,0.1
2024-07-22,LONG,-132.74,0,0.724,10.21,0,88.33,0.004,1,114.8,1,1,1,43.8,10.2,312.5,2,1,189.2,1,0.03
2024-07-23,LONG,-119.24,0,1.29,36.53,0,62.96,-0.2142,1,87.5,1,1,1,39.3,36.5,142.4,1,1,53.3,0,0.26
2024-07-23,LONG,179.26,1,0.717,29.58,0,54.74,-0.0966,1,63.8,1,1,1,37.7,60.3,118.7,1,1,29.6,0,0.51
2024-07-24,SHORT,84.76,1,4.262,260.67,0,13.74,0.075,0,-484.5,0,0,1,38.8,999.0,585.1,0,0,-520.3,0,
2024-07-24,SHORT,190.26,1,6.754,310.17,0,12.79,0.0478,0,-534.0,0,0,1,31.8,999.0,634.6,0,0,-569.8,0,
2024-07-25,LONG,227.26,1,1.761,1.08,0,34.8,0.2985,0,-529.0,0,0,0,72.7,431.9,1.1,2,0,-282.3,0,392.64
2024-07-25,LONG,206.26,1,0.752,10.67,1,44.38,0.3087,0,-452.5,0,0,0,68.5,355.4,10.7,1,0,-205.8,0,33.21
2024-07-26,LONG,-0.74,0,0.577,11.75,0,58.84,-0.1409,1,153.8,1,0,0,61.5,205.4,181.9,1,0,-11.8,0,1.13
2024-07-26,LONG,97.76,1,0.869,19.0,0,54.68,-0.114,1,146.5,1,0,0,49.2,212.7,174.7,1,0,-19.0,0,1.22
2024-07-29,LONG,-0.74,0,1.183,0.07,0,51.44,0.1134,1,224.5,1,1,1,26.8,98.6,258.3,2,1,159.7,0,0.38
