date,side,pnl,win,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2025-02-25,LONG,201.26,1,566.7,141.8,0,0,-427.2,0,4.0
2025-02-26,LONG,-0.74,0,41.3,269.6,0,1,114.2,0,0.15
2025-02-27,SHORT,-223.74,0,7.0,297.3,2,0,-165.5,0,0.02
2025-02-27,LONG,-186.74,0,199.5,64.0,0,0,-67.8,0,3.12
2025-02-28,LONG,-245.24,0,428.9,55.2,0,0,-198.6,0,7.77
2025-02-28,LONG,-0.74,0,468.7,15.4,1,0,-238.3,0,30.44
2025-03-03,LONG,-0.74,0,28.1,408.3,1,1,289.4,0,0.07
2025-03-03,LONG,-0.74,0,47.1,389.3,0,1,270.4,0,0.12
2025-03-05,SHORT,-0.74,0,97.2,340.9,0,0,-109.5,0,0.29
2025-03-05,SHORT,179.76,1,84.5,353.6,0,0,-122.2,0,0.24
2025-03-06,SHORT,-0.74,0,59.2,391.1,2,0,-196.1,0,0.15
2025-03-06,SHORT,187.26,1,51.7,458.8,1,0,-263.8,0,0.11
2025-03-07,SHORT,-0.74,0,36.1,457.3,2,0,-262.3,0,0.08
2025-03-07,SHORT,84.76,1,22.7,367.3,1,0,-172.3,0,0.06
2025-03-10,SHORT,148.76,1,58.2,643.5,0,0,-449.6,0,0.09
2025-03-10,SHORT,-188.74,0,174.8,713.5,1,0,-519.6,0,0.24
2025-03-11,LONG,106.26,1,270.2,205.3,1,0,-35.5,0,1.32
2025-03-11,LONG,-247.24,0,241.2,234.3,1,0,-6.5,0,1.03
2025-03-12,SHORT,-203.74,0,125.8,245.8,0,0,-60.0,0,0.51
2025-03-12,LONG,-0.74,0,66.8,304.8,0,1,119.0,0,0.22
2025-03-13,SHORT,80.26,1,4.8,331.9,2,0,-186.1,0,0.01
2025-03-13,SHORT,101.76,1,130.9,396.7,1,0,-250.8,0,0.33
2025-03-14,LONG,-0.74,0,11.2,351.8,3,1,194.6,0,0.03
2025-03-14,LONG,-0.74,0,129.7,439.0,1,1,281.8,0,0.3
2025-03-17,LONG,125.76,1,17.9,221.2,2,1,125.2,0,0.08
2025-03-17,LONG,126.26,1,86.5,295.8,2,1,199.8,0,0.29
2025-03-18,SHORT,-0.74,0,120.2,460.1,1,0,-333.8,0,0.26
2025-03-18,SHORT,-146.74,0,41.8,538.6,0,0,-412.2,0,0.08
2025-03-19,LONG,126.26,1,2.2,221.2,3,1,109.5,0,0.01
2025-03-19,LONG,-75.24,0,9.5,239.7,3,1,128.0,0,0.04
