strategy,family,direction,symbol,regime,sharpe,wr,active_days
RSI Momentum,Momentum,SHORT,ARRY,ALL,-1.139,45.7,105
RSI Momentum,Momentum,SHORT,ARRY,STRONG,-1.168,31.6,19
RSI Momentum,Momentum,SHORT,ARRY,WEAK,1.301,64.1,39
RSI Momentum,Momentum,SHORT,ARRY,CHOPPY,-1.383,30.4,23
Donchian/Turtle,Momentum,LONG,ARRY,ALL,0.077,48.7,76
Donchian/Turtle,Momentum,LONG,ARRY,STRONG,0.559,57.9,19
Donchian/Turtle,Momentum,LONG,ARRY,NORMAL,0.391,55.0,20
Donchian/Turtle,Momentum,LONG,ARRY,WEAK,-1.039,26.7,15
Donchian/Turtle,Momentum,SHORT,ARRY,ALL,-0.824,50.8,128
Donchian/Turtle,Momentum,SHORT,ARRY,STRONG,-2.069,26.5,34
Donchian/Turtle,Momentum,SHORT,ARRY,NORMAL,-0.639,45.0,20
Donchian/Turtle,Momentum,SHORT,ARRY,WEAK,1.702,72.5,40
Donchian/Turtle,Momentum,SHORT,ARRY,CHOPPY,-0.504,48.0,25
ADX Trend,Momentum,LONG,ARRY,ALL,1.031,54.7,159
ADX Trend,Momentum,LONG,ARRY,STRONG,1.089,65.7,35
ADX Trend,Momentum,LONG,ARRY,NORMAL,0.62,55.2,29
ADX Trend,Momentum,LONG,ARRY,CAUTIOUS,0.824,60.7,28
ADX Trend,Momentum,LONG,ARRY,WEAK,-1.325,37.1,35
ADX Trend,Momentum,LONG,ARRY,CHOPPY,0.742,56.2,32
ADX Trend,Momentum,SHORT,ARRY,ALL,-0.353,53.6,166
ADX Trend,Momentum,SHORT,ARRY,STRONG,-1.258,44.2,52
ADX Trend,Momentum,SHORT,ARRY,NORMAL,-0.473,52.0,25
ADX Trend,Momentum,SHORT,ARRY,WEAK,1.653,72.7,33
ADX Trend,Momentum,SHORT,ARRY,CHOPPY,-0.409,50.0,42
RSI Revert,Reversion,LONG,BEAM,ALL,0.55,50.4,115
RSI Revert,Reversion,LONG,BEAM,STRONG,2.371,77.4,31
RSI Revert,Reversion,LONG,BEAM,WEAK,-0.894,32.4,34
RSI Revert,Reversion,LONG,BEAM,CHOPPY,-0.727,45.8,24
RSI Revert,Reversion,SHORT,BEAM,ALL,-0.099,49.0,102
RSI Revert,Reversion,SHORT,BEAM,STRONG,-1.116,32.0,25
RSI Revert,Reversion,SHORT,BEAM,NORMAL,0.009,43.8,16
RSI Revert,Reversion,SHORT,BEAM,CHOPPY,-0.881,38.2,34
Zscore Revert,Reversion,LONG,BEAM,ALL,0.94,64.1,39
Zscore Revert,Reversion,SHORT,BEAM,ALL,0.586,52.7,112
Zscore Revert,Reversion,SHORT,BEAM,STRONG,-1.116,29.6,27
Zscore Revert,Reversion,SHORT,BEAM,NORMAL,0.556,53.3,15
Zscore Revert,Reversion,SHORT,BEAM,CAUTIOUS,0.898,56.2,16
Zscore Revert,Reversion,SHORT,BEAM,WEAK,2.578,94.7,19
Zscore Revert,Reversion,SHORT,BEAM,CHOPPY,-0.408,45.7,35
Keltner Revert,Reversion,LONG,BEAM,ALL,0.698,55.3,47
Keltner Revert,Reversion,SHORT,BEAM,ALL,0.465,54.1,85
Keltner Revert,Reversion,SHORT,BEAM,STRONG,-1.278,22.2,18
Keltner Revert,Reversion,SHORT,BEAM,WEAK,2.486,100.0,16
Keltner Revert,Reversion,SHORT,BEAM,CHOPPY,-0.35,44.4,27
MFI Revert,Reversion,LONG,BEAM,ALL,0.676,63.2,38
RSI Momentum,Momentum,LONG,BEAM,ALL,0.099,51.0,102
RSI Momentum,Momentum,LONG,BEAM,STRONG,1.116,68.0,25
RSI Momentum,Momentum,LONG,BEAM,NORMAL,-0.009,56.2,16
RSI Momentum,Momentum,LONG,BEAM,CHOPPY,0.881,61.8,34
RSI Momentum,Momentum,SHORT,BEAM,ALL,-0.55,49.6,115
RSI Momentum,Momentum,SHORT,BEAM,STRONG,-2.371,22.6,31
RSI Momentum,Momentum,SHORT,BEAM,WEAK,0.894,67.6,34
RSI Momentum,Momentum,SHORT,BEAM,CHOPPY,0.727,54.2,24
Donchian/Turtle,Momentum,LONG,BEAM,ALL,-0.504,48.5,101
