scan_date,score,is_catalyst,drift
2026-08-03,117,1,-3.5355325800942783
2026-08-03,147,1,2.8726897456037968
2026-08-03,122,1,-4.132916628377386
2026-08-03,147,1,0.1487353867760266
2026-08-03,98,0,1.4672953853844826
2026-08-03,82,0,1.9374678481601038
2026-08-03,156,1,-4.4754354290998375
2026-08-03,118,1,-0.5114950365592077
2026-08-03,131,1,2.8026897456037965
2026-08-03,117,1,-3.782916628377385
2026-08-03,147,1,-0.32126461322397315
2026-08-03,133,0,1.1472953853844823
2026-08-03,92,0,1.8574678481601037
2026-08-03,82,0,0.5174492317049033
2026-08-03,151,1,-4.67543542909984
2026-08-03,97,1,-3.9455325800942767
2026-08-03,102,1,-1.6882172483491473
2026-08-03,143,1,-0.9114950365592076
2026-08-03,131,1,2.6226897456037968
2026-08-03,117,1,-4.392916628377386
2026-08-03,162,1,-0.4012646132239732
2026-08-03,133,0,0.9272953853844825
2026-08-03,92,0,1.8174678481601036
2026-08-03,153,1,-1.141495036559208
2026-08-03,116,1,2.652689745603798
2026-08-03,122,1,-4.012916628377385
2026-08-03,177,1,-0.7412646132239731
2026-08-03,133,0,0.9772953853844824
2026-08-03,82,0,1.7374678481601038
2026-08-03,137,1,-3.563375099876808
2026-08-03,143,1,-1.181495036559208
2026-08-03,113,1,-4.075435429099839
2026-08-03,151,1,2.4226897456037975
2026-08-03,108,0,1.0272953853844822
2026-08-03,92,0,1.6074678481601037
2026-08-03,147,1,-3.183375099876809
2026-08-03,143,1,-1.311495036559208
2026-08-03,108,1,-3.8354354290998405
2026-08-03,141,1,2.8126897456037945
2026-08-03,113,0,1.287295385384482
2026-08-03,92,0,1.6874678481601038
2026-08-03,82,0,0.3774492317049032
2026-08-03,137,1,-0.07516920165246521
2026-08-03,147,1,-1.9533750998768085
2026-08-03,113,1,-3.2254354290998375
2026-08-03,141,1,2.9926897456037977
2026-08-03,108,0,1.2772953853844822
2026-08-03,102,0,1.6374678481601037
2026-08-03,147,1,-1.8933750998768097
2026-08-03,151,1,2.322689745603796
2026-08-03,113,1,-3.1554354290998408
2026-08-03,113,0,1.2272953853844824
2026-08-03,92,0,1.6874678481601038
2026-08-03,132,1,-2.1633750998768093
2026-08-03,156,1,1.4026897456037979
2026-08-03,98,1,-2.3754354290998396
2026-08-03,92,1,-1.9529166283773849
2026-08-03,98,0,1.4672953853844826
2026-08-03,82,0,1.5774678481601039
2026-08-04,167,1,9.471003161773748
2026-08-04,112,1,2.428083877354031
2026-08-04,163,1,0.5462417785997946
2026-08-04,176,1,-0.006376050255837207
2026-08-04,127,1,1.073301266479043
2026-08-04,132,1,5.493605356685451
2026-08-04,142,0,3.3897012193866916
2026-08-04,142,0,2.96884451805896
2026-08-04,157,0,2.0417636989584143
2026-08-04,152,0,2.8241823101972443
2026-08-04,153,0,-1.2292258597747312
2026-08-04,267,1,7.701003161773747
2026-08-04,183,1,0.4262417785997945
2026-08-04,132,1,2.4680838773540312
2026-08-04,201,1,-0.006376050255837207
2026-08-04,162,1,0.12330126647904294
2026-08-04,147,1,5.25360535668545
2026-08-04,192,0,2.25884451805896
2026-08-04,152,0,3.1797012193866916
2026-08-04,232,0,1.681763698958414
2026-08-04,232,0,2.0162517164152067
2026-08-04,232,0,1.7795119724524653
2026-08-04,197,0,1.823112130864538
2026-08-04,172,0,1.802261086035179
2026-08-04,147,0,2.5741823101972443
2026-08-04,136,0,1.52135498046875
2026-08-04,168,0,1.6008890071839588
2026-08-04,132,0,-1.0492258597747313
2026-08-04,211,1,6.391003161773747
2026-08-04,112,1,3.358083877354031
2026-08-04,147,1,-0.19669873352095707
2026-08-04,137,1,6.183605356685451
2026-08-04,132,0,2.989701219386691
2026-08-04,122,0,3.07884451805896
2026-08-04,157,0,1.0308890071839587
2026-08-04,182,0,1.903112130864538
2026-08-04,166,0,2.6674870709885745
2026-08-04,143,0,1.4661821750504827
2026-08-04,146,0,2.4341823101972437
2026-08-04,226,1,4.471003161773748
2026-08-04,162,1,2.8772423260051827
2026-08-04,157,1,1.728083877354031
2026-08-04,152,1,-0.9866987335209572
2026-08-04,127,1,5.50360535668545
2026-08-04,161,1,3.273764584758463
2026-08-04,143,0,0.9334258049443178
2026-08-04,152,0,2.3497012193866915
2026-08-04,172,0,2.3588445180589597
2026-08-04,152,0,1.761763698958414
2026-08-04,188,0,0.6661821750504826
2026-08-04,172,0,0.48088900718395866
2026-08-04,156,0,2.2031121308645383
2026-08-04,143,0,0.4613549804687498
2026-08-04,136,0,1.8422610860351791
2026-08-04,161,0,2.217487070988575
2026-08-04,151,0,1.7641823101972438
2026-08-04,187,1,0.01039483548670539
2026-08-04,177,1,2.9672423260051826
2026-08-04,137,1,2.148083877354031
2026-08-04,142,1,-1.806698733520957
2026-08-04,137,1,5.09360535668545
2026-08-04,161,1,3.543764584758463
2026-08-04,143,0,0.7834258049443179
2026-08-04,152,0,1.8597012193866913
2026-08-04,172,0,2.1288445180589597
2026-08-04,187,0,1.6117636989584136
2026-08-04,158,0,0.3861821750504828
2026-08-04,141,0,1.584182310197244
2026-08-04,167,0,0.030889007183958483
2026-08-04,182,0,1.7695119724524653
2026-08-04,186,0,1.7231121308645383
2026-08-04,161,0,1.6774870709885747
2026-08-04,128,0,0.3413549804687501
2026-08-04,196,1,4.771003161773747
2026-08-04,167,1,2.577242326005182
2026-08-04,177,1,0.09039483548670546
2026-08-04,162,1,1.8680838773540307
2026-08-04,162,1,-1.916698733520957
2026-08-04,142,1,0.8385770089285713
2026-08-04,137,1,5.00360535668545
2026-08-04,161,1,3.6337645847584628
2026-08-04,181,0,1.4750837190398454
2026-08-04,148,0,0.643425804944318
2026-08-04,157,0,1.3197012193866913
2026-08-04,182,0,1.4188445180589597
2026-08-04,126,0,0.7662528610229492
2026-08-04,147,0,1.7517636989584142
2026-08-04,158,0,0.2761821750504825
2026-08-04,157,0,-0.01911099281604134
2026-08-04,217,0,1.4095119724524654
2026-08-04,161,0,1.863112130864538
2026-08-04,161,0,1.667487070988575
2026-08-04,136,0,1.464182310197244
2026-08-04,133,0,0.5813549804687499
2026-08-04,82,0,-0.43006916565870545
2026-08-04,133,1,1.1610031617737473
2026-08-04,137,1,0.6517095903571668
2026-08-04,152,1,0.48724232600518214
2026-08-04,117,1,1.030394835486705
2026-08-04,127,1,1.7980838773540304
2026-08-04,137,1,-2.6566987335209573
2026-08-04,157,1,-0.6414229910714286
2026-08-04,147,1,2.813605356685451
2026-08-04,157,0,0.26970121938669145
2026-08-04,113,0,0.7950837190398454
2026-08-04,92,0,0.32342580494431794
2026-08-04,88,0,-0.29374713897705074
2026-08-04,131,0,-1.0658176898027563
2026-08-04,98,0,0.8931121308645382
2026-08-04,108,0,-0.7953841325388068
2026-08-04,87,0,-0.9191109928160413
2026-08-04,148,1,0.45100316177374644
2026-08-04,137,1,0.6017095903571668
2026-08-04,177,1,-0.03275767399481744
2026-08-04,162,1,-3.416698733520957
2026-08-04,147,1,0.28039483548670496
2026-08-04,111,1,1.7480838773540306
2026-08-04,162,1,-1.3914229910714286
2026-08-04,152,1,2.893605356685451
2026-08-04,128,1,0.28376458475846267
2026-08-04,82,0,0.3034258049443179
2026-08-04,147,0,0.4697012193866912
2026-08-04,88,0,-0.43374713897705086
2026-08-04,113,0,-1.2558176898027558
2026-08-04,108,0,0.7731121308645381
2026-08-04,97,0,-0.8038178249495171
2026-08-04,133,0,-1.0353841325388067
2026-08-04,87,0,-0.9591109928160413
2026-08-04,138,1,0.46100316177374623
2026-08-04,152,1,0.36170959035716677
2026-08-04,167,1,-0.042757673994817225
2026-08-04,147,1,0.3703948354867048
2026-08-04,111,1,1.6780838773540312
2026-08-04,142,1,-3.096698733520957
2026-08-04,152,1,-1.2914229910714285
2026-08-04,162,1,1.9636053566854503
2026-08-04,131,0,-1.1611554819410403
2026-08-04,182,0,-0.09029878061330887
2026-08-04,97,0,0.2834258049443179
2026-08-04,93,0,-0.5937471389770508
2026-08-04,153,0,-1.495817689802756
2026-08-04,103,0,-2.2286450195312497
2026-08-04,126,0,1.4417636989584137
2026-08-04,127,0,-0.9838178249495177
