strategy,family,direction,symbol,regime,sharpe,wr,active_days
ADX Trend,Momentum,LONG,ARRY,CHOPPY,0.535,53.8,52
ADX Trend,Momentum,SHORT,ARRY,ALL,-0.088,53.8,329
ADX Trend,Momentum,SHORT,ARRY,STRONG,-2.071,37.8,98
ADX Trend,Momentum,SHORT,ARRY,NORMAL,-0.089,55.6,63
ADX Trend,Momentum,SHORT,ARRY,CAUTIOUS,0.722,64.7,34
ADX Trend,Momentum,SHORT,ARRY,WEAK,2.034,73.8,61
ADX Trend,Momentum,SHORT,ARRY,CHOPPY,-0.122,52.1,73
RSI Revert,Reversion,LONG,BEAM,ALL,0.58,54.0,113
RSI Revert,Reversion,LONG,BEAM,STRONG,1.902,74.3,35
RSI Revert,Reversion,LONG,BEAM,NORMAL,0.146,57.9,19
RSI Revert,Reversion,LONG,BEAM,CAUTIOUS,-0.055,31.2,16
RSI Revert,Reversion,LONG,BEAM,WEAK,-1.055,23.1,26
RSI Revert,Reversion,LONG,BEAM,CHOPPY,0.934,76.5,17
RSI Revert,Reversion,SHORT,BEAM,ALL,0.221,52.5,80
RSI Revert,Reversion,SHORT,BEAM,STRONG,-0.611,27.8,18
RSI Revert,Reversion,SHORT,BEAM,WEAK,1.014,86.7,15
RSI Revert,Reversion,SHORT,BEAM,CHOPPY,-0.033,58.3,24
Zscore Revert,Reversion,LONG,BEAM,ALL,0.314,65.4,26
Zscore Revert,Reversion,SHORT,BEAM,ALL,1.084,57.8,64
Zscore Revert,Reversion,SHORT,BEAM,WEAK,1.426,87.5,16
Zscore Revert,Reversion,SHORT,BEAM,CHOPPY,0.58,63.2,19
Keltner Revert,Reversion,LONG,BEAM,ALL,0.133,52.4,42
Keltner Revert,Reversion,LONG,BEAM,WEAK,-0.714,25.0,16
Keltner Revert,Reversion,SHORT,BEAM,ALL,0.333,54.7,64
Keltner Revert,Reversion,SHORT,BEAM,CHOPPY,0.19,60.0,20
MFI Revert,Reversion,LONG,BEAM,ALL,-0.5,50.0,48
MFI Revert,Reversion,LONG,BEAM,STRONG,0.381,60.0,15
RSI Momentum,Momentum,LONG,BEAM,ALL,-0.221,47.5,80
RSI Momentum,Momentum,LONG,BEAM,STRONG,0.611,72.2,18
RSI Momentum,Momentum,LONG,BEAM,WEAK,-1.014,13.3,15
RSI Momentum,Momentum,LONG,BEAM,CHOPPY,0.033,41.7,24
RSI Momentum,Momentum,SHORT,BEAM,ALL,-0.58,46.0,113
RSI Momentum,Momentum,SHORT,BEAM,STRONG,-1.902,25.7,35
RSI Momentum,Momentum,SHORT,BEAM,NORMAL,-0.146,42.1,19
RSI Momentum,Momentum,SHORT,BEAM,CAUTIOUS,0.055,68.8,16
RSI Momentum,Momentum,SHORT,BEAM,WEAK,1.055,76.9,26
RSI Momentum,Momentum,SHORT,BEAM,CHOPPY,-0.934,23.5,17
Donchian/Turtle,Momentum,LONG,BEAM,ALL,-0.92,43.8,48
Donchian/Turtle,Momentum,LONG,BEAM,CHOPPY,-0.425,43.8,16
Donchian/Turtle,Momentum,SHORT,BEAM,ALL,0.259,50.8,65
Donchian/Turtle,Momentum,SHORT,BEAM,STRONG,-0.926,35.3,17
Donchian/Turtle,Momentum,SHORT,BEAM,WEAK,1.539,73.7,19
Donchian/Turtle,Momentum,SHORT,BEAM,CHOPPY,0.021,46.7,15
ADX Trend,Momentum,LONG,BEAM,ALL,0.225,47.7,264
ADX Trend,Momentum,LONG,BEAM,STRONG,2.213,74.0,73
ADX Trend,Momentum,LONG,BEAM,NORMAL,0.124,50.0,44
ADX Trend,Momentum,LONG,BEAM,CAUTIOUS,-0.547,46.2,39
ADX Trend,Momentum,LONG,BEAM,WEAK,-2.173,18.4,49
ADX Trend,Momentum,LONG,BEAM,CHOPPY,-0.05,39.0,59
ADX Trend,Momentum,SHORT,BEAM,ALL,0.24,53.3,274
ADX Trend,Momentum,SHORT,BEAM,STRONG,-2.201,29.0,69
ADX Trend,Momentum,SHORT,BEAM,NORMAL,-0.135,46.0,50
ADX Trend,Momentum,SHORT,BEAM,CAUTIOUS,1.01,71.8,39
ADX Trend,Momentum,SHORT,BEAM,WEAK,2.125,73.8,61
ADX Trend,Momentum,SHORT,BEAM,CHOPPY,-0.329,54.5,55
RSI Revert,Reversion,LONG,CACI,ALL,0.294,45.4,108
RSI Revert,Reversion,LONG,CACI,STRONG,0.673,53.1,32
RSI Revert,Reversion,LONG,CACI,NORMAL,-0.167,36.4,22
RSI Revert,Reversion,LONG,CACI,CAUTIOUS,0.061,46.7,15
RSI Revert,Reversion,LONG,CACI,WEAK,0.127,43.8,16
RSI Revert,Reversion,LONG,CACI,CHOPPY,-0.14,43.5,23
RSI Revert,Reversion,SHORT,CACI,ALL,-0.47,41.0,188
RSI Revert,Reversion,SHORT,CACI,STRONG,-0.58,31.9,47
RSI Revert,Reversion,SHORT,CACI,NORMAL,-0.505,35.7,42
RSI Revert,Reversion,SHORT,CACI,CAUTIOUS,-0.203,58.8,17
RSI Revert,Reversion,SHORT,CACI,WEAK,0.765,59.5,42
RSI Revert,Reversion,SHORT,CACI,CHOPPY,-0.943,30.0,40
Zscore Revert,Reversion,LONG,CACI,ALL,0.591,55.0,40
Zscore Revert,Reversion,SHORT,CACI,ALL,0.414,53.0,66
Zscore Revert,Reversion,SHORT,CACI,STRONG,0.31,44.4,18
Zscore Revert,Reversion,SHORT,CACI,WEAK,0.126,64.7,17
Keltner Revert,Reversion,LONG,CACI,ALL,0.006,45.5,44
Keltner Revert,Reversion,SHORT,CACI,ALL,0.172,46.7,122
Keltner Revert,Reversion,SHORT,CACI,STRONG,-0.035,37.5,32
Keltner Revert,Reversion,SHORT,CACI,NORMAL,-0.698,30.4,23
Keltner Revert,Reversion,SHORT,CACI,WEAK,1.393,79.3,29
Keltner Revert,Reversion,SHORT,CACI,CHOPPY,-0.985,30.8,26
MFI Revert,Reversion,SHORT,CACI,ALL,-0.05,37.5,40
RSI Momentum,Momentum,LONG,CACI,ALL,0.47,59.0,188
RSI Momentum,Momentum,LONG,CACI,STRONG,0.58,68.1,47
RSI Momentum,Momentum,LONG,CACI,NORMAL,0.505,64.3,42
RSI Momentum,Momentum,LONG,CACI,CAUTIOUS,0.203,41.2,17
RSI Momentum,Momentum,LONG,CACI,WEAK,-0.765,40.5,42
RSI Momentum,Momentum,LONG,CACI,CHOPPY,0.943,70.0,40
RSI Momentum,Momentum,SHORT,CACI,ALL,-0.294,54.6,108
RSI Momentum,Momentum,SHORT,CACI,STRONG,-0.673,46.9,32
RSI Momentum,Momentum,SHORT,CACI,NORMAL,0.167,63.6,22
RSI Momentum,Momentum,SHORT,CACI,CAUTIOUS,-0.061,53.3,15
RSI Momentum,Momentum,SHORT,CACI,WEAK,-0.127,56.2,16
RSI Momentum,Momentum,SHORT,CACI,CHOPPY,0.14,56.5,23
Donchian/Turtle,Momentum,LONG,CACI,ALL,-0.037,56.8,88
Donchian/Turtle,Momentum,LONG,CACI,STRONG,0.125,65.5,29
Donchian/Turtle,Momentum,LONG,CACI,NORMAL,-0.344,56.2,16
Donchian/Turtle,Momentum,LONG,CACI,CHOPPY,0.375,65.0,20
Donchian/Turtle,Momentum,SHORT,CACI,ALL,-0.115,53.6,56
Donchian/Turtle,Momentum,SHORT,CACI,STRONG,-0.044,50.0,18
ADX Trend,Momentum,LONG,CACI,ALL,0.482,53.7,352
ADX Trend,Momentum,LONG,CACI,STRONG,1.269,67.4,95
ADX Trend,Momentum,LONG,CACI,NORMAL,0.671,58.7,75
ADX Trend,Momentum,LONG,CACI,CAUTIOUS,-0.263,45.5,44
ADX Trend,Momentum,LONG,CACI,WEAK,-1.186,31.8,66
ADX Trend,Momentum,LONG,CACI,CHOPPY,0.516,55.6,72
ADX Trend,Momentum,SHORT,CACI,ALL,0.365,50.0,276
ADX Trend,Momentum,SHORT,CACI,STRONG,-0.525,37.3,75
