strategy,family,direction,symbol,regime,sharpe,wr,active_days
Zscore Revert,Reversion,LONG,ARRY,CHOPPY,0.276,50.0,32
Zscore Revert,Reversion,SHORT,ARRY,ALL,0.364,55.7,131
Zscore Revert,Reversion,SHORT,ARRY,STRONG,-0.595,44.1,34
Zscore Revert,Reversion,SHORT,ARRY,NORMAL,-0.465,47.8,23
Zscore Revert,Reversion,SHORT,ARRY,CAUTIOUS,-0.168,43.8,16
Zscore Revert,Reversion,SHORT,ARRY,WEAK,1.728,79.3,29
Zscore Revert,Reversion,SHORT,ARRY,CHOPPY,0.249,58.6,29
Keltner Revert,Reversion,LONG,ARRY,ALL,0.413,48.5,163
Keltner Revert,Reversion,LONG,ARRY,STRONG,1.866,73.5,49
Keltner Revert,Reversion,LONG,ARRY,NORMAL,0.52,62.5,24
Keltner Revert,Reversion,LONG,ARRY,CAUTIOUS,-0.458,29.4,17
Keltner Revert,Reversion,LONG,ARRY,WEAK,-1.45,23.3,43
Keltner Revert,Reversion,LONG,ARRY,CHOPPY,0.141,43.3,30
Keltner Revert,Reversion,SHORT,ARRY,ALL,0.372,53.2,79
Keltner Revert,Reversion,SHORT,ARRY,STRONG,-0.535,26.3,19
Keltner Revert,Reversion,SHORT,ARRY,CAUTIOUS,0.694,58.8,17
Keltner Revert,Reversion,SHORT,ARRY,WEAK,0.936,73.7,19
MFI Revert,Reversion,LONG,ARRY,ALL,0.304,50.0,86
MFI Revert,Reversion,LONG,ARRY,STRONG,1.402,78.9,19
MFI Revert,Reversion,LONG,ARRY,WEAK,-0.703,32.1,28
MFI Revert,Reversion,SHORT,ARRY,ALL,-0.499,53.1,49
MFI Revert,Reversion,SHORT,ARRY,STRONG,-0.361,64.7,17
RSI Momentum,Momentum,LONG,ARRY,ALL,-0.154,43.3,171
RSI Momentum,Momentum,LONG,ARRY,STRONG,1.141,56.2,48
RSI Momentum,Momentum,LONG,ARRY,NORMAL,0.628,51.4,37
RSI Momentum,Momentum,LONG,ARRY,CAUTIOUS,-1.035,28.6,21
RSI Momentum,Momentum,LONG,ARRY,WEAK,-1.407,26.7,30
RSI Momentum,Momentum,LONG,ARRY,CHOPPY,-0.774,40.0,35
RSI Momentum,Momentum,SHORT,ARRY,ALL,-0.516,48.4,190
