symbol,gap_fill_rate,gap_go_rate,trend_1d,trend_3d,reversal_tendency,vol_move_corr,up_vol_ratio,avg_atr_pct,avg_range_pct,return_skew,vol_clustering,intraday_revert_rate,val_gap_fill,val_gap_go,val_trend_1d,drift,fvg_density,fvg_fill_rate,orb_breakout_rate,orb_hold_1h,vwap_reclaim_rate,morning_continuation,catalyst_wr,catalyst_avg,data_years,cluster,cluster_raw,cluster_dist,bt_n,bt_wr,bt_ev,bt_ann,bt_total,bt_prof_yr,bt_n_yr,bt_avg_w,bt_avg_l,passed
UFPT,0.6914498141263941,0.6914498141263941,0.49019607843137253,0.45098039215686275,0.5256928771327977,0.2588862212670845,1.136565370706089,3.7273416162844337,3.6138095008345394,0.0017772824219358873,0.16741351764726503,0.5208747514910537,0.7138157894736842,0.6381578947368421,0.47619047619047616,0.03782894736842102,36.529548088064885,0.7581284694686756,0.5831663326653307,0.5287356321839081,0.6192384769539078,0.0,0.5971223021582733,0.7872439974600974,6.0,INSTITUTIONAL,2,7.937,50,98.0,61.76440000000001,514.7033333333334,3088.2200000000003,6,6,65.0657142857143,-100.0,True
SANM,0.5638686131386861,0.7536496350364964,0.4857142857142857,0.5142857142857142,0.5381859387758503,0.2740142777188446,0.9850387120083277,3.1541366825767865,2.9180224560011405,-0.17875093797486896,0.18761646730395215,0.5099403578528827,0.5653710247349824,0.7561837455830389,0.4358974358974359,0.0020182610714193916,27.830596369922212,0.6884057971014492,0.533066132264529,0.5061728395061729,0.591182364729459,0.0,0.5074626865671642,0.5923488345010167,6.0,INSTITUTIONAL,2,2.813,42,95.23809523809523,61.343333333333305,429.40333333333336,2576.42,6,6,70.1605,-115.0,True
OLLI,0.6802325581395349,0.6414728682170543,0.4855072463768116,0.5289855072463768,0.49410206155632985,0.41368466651252594,1.0333598832282729,4.424638167918482,4.200414333749464,-0.47139142758215163,0.27724136879834754,0.49801192842942343,0.6396396396396397,0.6891891891891891,0.5918367346938775,0.04415461973601503,25.900316911552867,0.6941045606229144,0.46292585170340683,0.48,0.6072144288577155,0.0,0.5608108108108109,0.4147166614923746,6.0,HIGH_VOL,0,3.39,41,90.2439024390244,61.1539024390244,417.88500000000005,2507.3100000000004,6,6,70.85864864864865,-28.615000000000002,True
BLDR,0.5552193645990923,0.7291981845688351,0.5474452554744526,0.5401459854014599,0.49327523392235223,0.2910379601729189,0.9699660846700243,4.451458963283245,4.083503223986753,0.07529719546687166,0.25338958176953064,0.48807157057654077,0.5167173252279635,0.7173252279635258,0.44642857142857145,0.02518749798821901,26.94524495677233,0.6598930481283423,0.46292585170340683,0.42857142857142855,0.5490981963927856,0.0,0.569620253164557,0.5079249141419192,6.0,INSTITUTIONAL,2,3.56,53,88.67924528301887,60.503396226415106,534.4466666666667,3206.6800000000003,6,6,74.11340425531915,-46.10833333333333,True
FICO,0.575984990619137,0.701688555347092,0.4805194805194805,0.5454545454545454,0.4955642615466805,0.2810959484444384,0.9472817688193627,3.278585164232825,3.083849065620063,1.5013736109939402,0.20078921812185693,0.5397614314115308,0.5701754385964912,0.7017543859649122,0.6341463414634146,0.002937691320233027,29.518593254540214,0.689453125,0.5090180360721442,0.5065502183406113,0.5991983967935872,0.0,0.5285714285714286,0.08105968006115005,6.0,INSTITUTIONAL,2,3.507,36,97.22222222222221,60.427714285714295,352.49500000000006,2114.9700000000003,6,6,60.427714285714295,0.0,True
TYL,0.5668662674650699,0.7105788423153693,0.49230769230769234,0.4461538461538462,0.5320236906442616,0.23318635862768874,0.9429949978460374,2.8254551856698553,2.6234361320096737,-0.048603805176627025,0.2112902107277224,0.5019880715705766,0.5231788079470199,0.7615894039735099,0.2727272727272727,0.04734901058809532,26.57060518731988,0.7071583514099783,0.5070140280561122,0.4841628959276018,0.6232464929859719,0.0,0.5043478260869565,0.5379468590212295,6.0,INSTITUTIONAL,2,4.053,33,100.0,60.332424242424246,331.8283333333333,1990.97,6,6,60.332424242424246,0.0,True
CRS,0.5421853388658368,0.6998616874135546,0.4327485380116959,0.4502923976608187,0.530883025773982,0.2892990512350247,1.0026687058489605,4.951684537585991,4.480196930695188,0.016898301964475074,0.2129803692615068,0.49801192842942343,0.6258503401360545,0.6802721088435374,0.5079365079365079,0.05162728992011745,25.273775216138326,0.7058152793614595,0.5190380761523046,0.5,0.6152304609218436,0.0,0.6081871345029239,0.9636087745702094,6.0,INSTITUTIONAL,2,3.512,56,96.42857142857143,60.25785714285715,562.4066666666668,3374.4400000000005,6,6,64.38407407407408,-51.15,True
VIRT,0.62,0.6714285714285714,0.43283582089552236,0.5671641791044776,0.5020155038759689,0.4553739680052164,0.9626847770402926,3.091298750103738,2.974564000000008,-0.42271314529652004,0.18333472347851046,0.5059642147117296,0.6329787234042553,0.6702127659574468,0.6086956521739131,0.007097264437689932,25.878962536023053,0.678173719376392,0.4649298597194389,0.5396039603960396,0.6633266533066132,0.0,0.5826086956521739,0.01570014145597215,6.0,INSTITUTIONAL,2,4.925,38,94.73684210526315,60.18263157894737,381.1566666666667,2286.94,6,6,64.40305555555557,-15.785,True
FN,0.5625,0.7621527777777778,0.5,0.4883720930232558,0.5190605239385727,0.34150376348452033,1.010181390407217,3.263279013480516,3.0187506551655234,2.0790805144287794,0.09803783947638886,0.49204771371769385,0.543859649122807,0.716374269005848,0.5730337078651685,0.032209429824561375,29.971181556195962,0.6788461538461539,0.49498997995991983,0.6171171171171171,0.5791583166332666,0.0,0.5033112582781457,-0.007239825807627025,6.0,INSTITUTIONAL,2,4.365,48,93.75,59.69312500000001,477.5449999999999,2865.2699999999995,6,6,68.908,-78.53,True
VECO,0.6050295857988166,0.6923076923076923,0.460431654676259,0.49640287769784175,0.4919846577498033,0.2879989045665288,1.057412591633353,4.296309428683224,3.9762583055207825,-0.26804046529834863,0.3031726530679395,0.47813121272365805,0.5542168674698795,0.7771084337349398,0.5081967213114754,0.06780672987809228,28.723710746182654,0.6800401203610833,0.48296593186372744,0.514018691588785,0.6032064128256514,0.0,0.5231788079470199,0.915976589710055,6.0,INSTITUTIONAL,2,3.148,56,92.85714285714286,58.7925,548.73,3292.38,6,6,69.0525,-74.5875,True
