date,ib_range_pts,day_ret_pct,day_range_pct,vol_vol,continuation,post_move_pts,live_regime,hmm_state,hmm_regime
2025-03-07,218.0,0.7298905787969906,2.5989095309985153,0.3600450134685432,1,125.0,TRENDING,1,HMM_CHOPPY
2025-03-10,247.75,-2.131351616432155,3.1699925811359666,0.3837260949320215,1,210.25,TRENDING,1,HMM_CHOPPY
2025-03-11,300.0,0.03475798146240988,2.505149330587024,0.42972568589952004,-1,105.0,TRENDING,1,HMM_CHOPPY
2025-03-12,196.75,-0.5343588962506028,1.9381616023151322,0.4328340759272113,1,39.0,CHOPPY,1,HMM_CHOPPY
2025-03-13,253.0,-1.40238840283543,2.1023053834855356,0.4312683324495356,1,177.0,TRENDING,1,HMM_CHOPPY
2025-03-14,194.5,1.063447212946314,1.6259953763164654,0.5386892361047123,1,196.75,CHOPPY,0,HMM_QUIET
2025-03-17,164.0,0.5925568765781426,1.6786996739033893,0.5230287920516473,1,102.75,CHOPPY,0,HMM_QUIET
2025-03-18,259.25,-0.865833841153768,1.4853747714808043,0.7864652643524647,-1,25.75,TRENDING,0,HMM_QUIET
2025-03-19,191.25,0.9254531529231554,2.208322695940771,0.5416384969867278,1,122.0,CHOPPY,0,HMM_QUIET
2025-03-20,325.75,0.6012714785406081,1.7604105496974494,0.5281257200704886,-1,146.25,TRENDING,0,HMM_QUIET
2025-03-24,118.75,0.5257636531934587,0.8910829990743597,0.6316106397274761,1,23.5,CHOPPY,0,HMM_QUIET
2025-03-25,92.25,0.4901600372521628,0.6911256525255496,0.5531008239931172,1,47.5,QUIET,0,HMM_QUIET
2025-03-26,249.0,-1.6292182932348303,2.1221424465183407,0.4828350282005137,1,178.75,TRENDING,1,HMM_CHOPPY
2025-03-27,185.25,-0.10984210197840605,1.3043749609935718,0.502750403367489,-1,113.75,CHOPPY,1,HMM_CHOPPY
2025-03-28,310.5,-2.310280749334539,2.610366129275275,0.5345251980955967,1,187.75,TRENDING,1,HMM_CHOPPY
2025-03-31,215.5,1.3030378128790745,2.6752057599749564,0.4253847172318467,-1,356.0,TRENDING,1,HMM_CHOPPY
2025-04-01,201.0,1.1596708031268543,1.9710533783958102,0.43050243449424264,-1,271.75,TRENDING,1,HMM_CHOPPY
2025-04-02,303.5,2.1885347682119205,2.964610927152318,0.3910357712168703,1,152.75,TRENDING,1,HMM_CHOPPY
2025-04-03,218.0,-1.2074773763128344,2.162626329348041,0.41782052342390313,1,227.0,TRENDING,1,HMM_CHOPPY
2025-04-04,336.0,-3.7473144934721536,4.43728309370352,0.322905786995238,1,443.25,TRENDING,1,HMM_CHOPPY
2025-04-07,1686.75,4.386224007561436,9.964260396975426,0.605427897615383,1,303.5,TRENDING,2,HMM_TRENDING
2025-04-08,295.0,-4.961705879111797,7.632651936745827,0.2959583249272288,-1,1034.75,TRENDING,1,HMM_CHOPPY
2025-04-09,401.0,11.95536894713138,12.736993505833127,0.4175111631736414,1,1819.75,TRENDING,2,HMM_TRENDING
2025-04-10,308.25,-1.3490500771646001,5.074237666968229,0.2405276371327198,1,106.5,TRENDING,1,HMM_CHOPPY
2025-04-11,370.75,2.106978007059462,3.2758620689655173,0.3660702180999968,-1,498.25,TRENDING,1,HMM_CHOPPY
2025-04-14,268.25,-1.6261325083516398,2.686823257204508,0.4243240365531908,1,216.0,TRENDING,1,HMM_CHOPPY
2025-04-15,219.0,-0.0974350871649023,1.3706746721440985,0.49101831369961335,-1,0.5,TRENDING,1,HMM_CHOPPY
2025-04-16,169.25,-0.8528497827519875,3.3306877951008222,0.3658466822655397,-1,191.75,CHOPPY,1,HMM_CHOPPY
2025-04-17,194.0,-0.36219152904289537,1.4311971240911425,0.43686836190865236,-1,110.0,CHOPPY,1,HMM_CHOPPY
2025-04-21,268.0,-1.2452596014617665,2.5691236295938773,0.41964527761257486,1,22.5,TRENDING,1,HMM_CHOPPY
2025-04-22,205.5,1.2973598314258563,2.2765772838077925,0.4039333108705082,1,108.25,TRENDING,1,HMM_CHOPPY
2025-04-23,228.0,-0.8879096522243918,2.300912976938097,0.4251152842286792,-1,320.75,TRENDING,1,HMM_CHOPPY
2025-04-24,295.5,2.5959577229742257,3.022436491748563,0.4341756568548431,1,226.25,TRENDING,1,HMM_CHOPPY
2025-04-25,169.75,1.2058179745884547,1.7122356201997178,0.4878021846810953,-1,263.25,CHOPPY,1,HMM_CHOPPY
2025-04-28,189.75,-0.25833514508971395,1.867174811044467,0.45156334644835144,-1,8.5,CHOPPY,1,HMM_CHOPPY
2025-04-29,197.0,1.1195614407597576,1.4850274742951266,0.4180902708176189,1,147.5,CHOPPY,1,HMM_CHOPPY
2025-04-30,212.75,2.0335470500615247,3.3171426721067285,0.44386334704484315,1,384.5,TRENDING,1,HMM_CHOPPY
2025-05-01,147.25,-0.9776431414766041,1.751245524872944,0.5021207189234834,-1,222.5,CHOPPY,1,HMM_CHOPPY
2025-05-02,161.0,0.5674111864617682,1.2816524606482922,0.5123713111778411,1,26.0,CHOPPY,0,HMM_QUIET
2025-05-05,125.75,0.09370197773641009,1.0294723953973588,0.6209142784899476,-1,30.5,CHOPPY,0,HMM_QUIET
2025-05-06,171.75,0.38770948309611913,1.4586464266319792,0.5006244184729302,-1,27.25,CHOPPY,0,HMM_QUIET
2025-05-07,119.0,0.3103054058468071,1.891983567632759,0.4984512305373542,-1,10.5,CHOPPY,0,HMM_QUIET
2025-05-08,149.5,0.05455672659640422,1.783013019218847,0.5239916809048785,-1,82.25,CHOPPY,0,HMM_QUIET
2025-05-09,167.25,-0.407870667919118,1.0987788599396846,0.5274672322278693,-1,10.5,CHOPPY,0,HMM_QUIET
2025-05-12,198.5,0.19002091425156856,1.4628025097101882,0.6300821366211239,-1,217.0,CHOPPY,0,HMM_QUIET
2025-05-13,268.75,1.241415427830082,1.779401787733435,0.5641702835761628,1,54.75,TRENDING,0,HMM_QUIET
