date,year,symbol,grade,score,regime,spy_chg,entry,pnl_usd,pnl_pct,result,dna_cluster,patterns
2023-06-13,2023,COHR,A+,165,STRONG,0.66,42.0,79.95,3.48,WIN,MOMENTUM,ORB | VWAP reclaim | RS +3.7% | 2.0x vol | EMA uptrend
2023-06-14,2023,COHR,A+,165,NORMAL,0.12,46.31,122.06,5.31,WIN,MOMENTUM,ORB | VWAP reclaim | RS +14.1% | 5.9x vol | EMA uptrend
2023-06-15,2023,COHR,A+,135,STRONG,1.24,48.58,110.75,5.54,WIN,MOMENTUM,VWAP reclaim | RS +3.6% | 2.5x vol | EMA uptrend | +4.8%
2023-06-16,2023,COHR,A+,110,NORMAL,-0.34,56.2,-54.43,-2.37,LOSS,MOMENTUM,RS +7.4% | 2.7x vol | EMA uptrend | +7.0%
2023-10-10,2023,COHR,A+,125,STRONG,0.52,35.01,-115.0,-5.0,STOP,MOMENTUM,RS +6.1% | 2.9x vol | Above EMA21 | RSI 63 | +6.6%
2023-10-11,2023,COHR,A+,120,NORMAL,0.41,34.8,-0.66,-0.03,LOSS,MOMENTUM,ORB | RS +4.8% | 1.6x vol | Above EMA21 | RSI 76 strong
2023-11-08,2023,COHR,A+,130,NORMAL,0.07,32.81,112.77,5.64,WIN,MOMENTUM,VWAP reclaim | RS +5.5% | 1.4x vol | EMA uptrend | RSI 64
2023-12-14,2023,COHR,A+,115,NORMAL,0.32,42.68,96.03,4.18,WIN,MOMENTUM,VWAP reclaim | RS +4.1% | 1.8x vol | EMA uptrend | +4.4%
2024-01-18,2024,COHR,A+,170,STRONG,0.89,45.39,17.23,0.75,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | 1.6x vol | EMA uptrend
2024-01-22,2024,COHR,A+,100,NORMAL,0.21,46.55,19.33,0.97,WIN,MOMENTUM,VWAP reclaim | 1.5x vol | EMA uptrend | RSI 62 | +1.8%
2024-02-06,2024,COHR,A+,110,NORMAL,0.29,58.48,-115.0,-5.0,STOP,MOMENTUM,RS +17.1% | 5.3x vol | EMA uptrend | +17.4%
